"customer_id","number_of_orders","total_spent"
362,"1","3997.97"
221,"1","199.99"
752,"1","170.99"
1013,"1","1209.47"
688,"1","3347.98"
1207,"1","524.39"
1288,"1","959.98"
594,"1","9942.14"
460,"1","5440.36"
499,"1","9704.94"
265,"1","1096.18"
111,"1","6177.77"
851,"1","992.97"
1076,"1","1619.99"
1093,"1","3447.23"
968,"1","1394.99"
893,"1","8820.15"
326,"1","2768.36"
1318,"1","1052.97"
993,"1","377.98"
568,"1","6479.94"
371,"1","1619.99"
805,"1","335.98"
655,"1","655.19"
1139,"1","999.48"
1327,"1","1599.98"
413,"1","5225.95"
649,"1","8550.05"
100,"1","5399.98"
183,"1","1254.94"
1223,"1","3589.57"
1225,"1","10050.63"
925,"1","474.99"
150,"1","3840.88"
1342,"1","527.78"
656,"1","1094.98"
421,"1","9838.45"
429,"1","3194.08"
835,"1","1485.46"
122,"1","24890.62"
141,"1","376.79"
1355,"1","1961.08"
570,"1","1556.78"
648,"1","3475.84"
1026,"1","7938.94"
923,"1","5671.13"
434,"1","3092.94"
995,"1","4447.72"
211,"1","1472.48"
1420,"1","1407.55"
1320,"1","543.98"
901,"1","712.49"
1191,"1","3439.17"
1014,"1","5699.98"
1125,"1","7339.42"
530,"1","5382.05"
928,"1","1264.98"
536,"1","8376.92"
465,"1","1382.97"
449,"1","1894.54"
520,"1","2754.99"
1421,"1","17494.94"
148,"1","1260.97"
790,"1","2719.48"
1269,"1","4204.53"
828,"1","2716.77"
652,"1","1063.89"
273,"1","3056.96"
1091,"1","4445.06"
951,"1","3292.43"
839,"1","4521.88"
1075,"1","2653.07"
350,"1","11462.60"
539,"1","269.99"
758,"1","6169.96"
1108,"1","2793.05"
1128,"1","2643.24"
1284,"1","11299.97"
874,"1","1344.79"
278,"1","5226.66"
1136,"1","11428.65"
946,"1","4062.33"
576,"1","10574.96"
1003,"1","3594.86"
1045,"1","2155.17"
292,"1","13947.54"
1331,"1","2195.05"
663,"1","14567.16"
929,"1","4689.46"
770,"1","2208.97"
1307,"1","7482.14"
271,"1","879.98"
417,"1","7004.84"
1373,"1","5600.06"
556,"1","1902.56"
764,"1","3163.04"
1175,"1","4092.86"
529,"1","7568.05"
1268,"1","5115.96"
638,"1","1832.06"
791,"1","1189.98"
775,"1","908.08"
940,"1","1885.88"
173,"1","8072.33"
390,"1","7439.98"
1018,"1","10792.25"
189,"1","2069.37"
1263,"1","4044.78"
876,"1","1525.15"
161,"1","4296.18"
113,"1","4236.35"
1431,"1","1705.96"
632,"1","2599.17"
1372,"1","7021.15"
658,"1","557.98"
578,"1","8342.94"
1289,"1","507.29"
802,"1","9385.10"
815,"1","10620.04"
695,"1","1006.98"
1422,"1","7049.67"
440,"1","4863.97"
1415,"1","9725.84"
1004,"1","278.99"
794,"1","9274.97"
1313,"1","5114.09"
160,"1","7975.97"
644,"1","4001.92"
824,"1","10132.36"
1368,"1","10216.24"
508,"1","697.49"
1262,"1","3722.98"
357,"1","1970.59"
1194,"1","1692.54"
1143,"1","1256.09"
769,"1","1258.97"
266,"1","2681.96"
1287,"1","2991.76"
315,"1","2258.12"
366,"1","6744.77"
1162,"1","7157.35"
307,"1","2942.98"
841,"1","1546.38"
1030,"1","3049.98"
1239,"1","601.58"
803,"1","12867.96"
305,"1","1238.57"
1312,"1","10617.97"
743,"1","954.98"
963,"1","6416.59"
220,"1","6672.29"
1278,"1","2228.25"
823,"1","3464.02"
822,"1","1396.49"
400,"1","4766.83"
1118,"1","7947.44"
1025,"1","927.98"
241,"1","2157.92"
1007,"1","18278.94"
596,"1","1422.48"
285,"1","613.79"
1319,"1","5231.85"
1266,"1","2474.97"
391,"1","269.99"
1104,"1","2362.16"
487,"1","1450.02"
699,"1","1422.96"
246,"1","6261.96"
1190,"1","4922.95"
128,"1","7536.16"
714,"1","256.49"
344,"1","4464.66"
906,"1","4749.98"
1321,"1","5644.92"
909,"1","2099.96"
745,"1","1692.57"
1078,"1","4803.63"
152,"1","3643.54"
534,"1","16846.95"
1216,"1","2780.55"
1049,"1","3027.03"
428,"1","5062.34"
355,"1","3015.97"
637,"1","8127.95"
1279,"1","8936.45"
1403,"1","12595.07"
747,"1","11831.34"
222,"1","1497.48"
1006,"1","6723.08"
1324,"1","3900.06"
1008,"1","892.98"
164,"1","1139.98"
777,"1","2379.46"
1098,"1","889.58"
1325,"1","854.19"
453,"1","7823.94"
